# WAVELENGTH    FLUX        
  2328.522461   3.987E-13   
  2329.89624    4.2305E-13  
  2331.27002    4.3689E-13  
  2332.643799   3.903E-13   
  2334.017578   3.5258E-13  
  2335.391357   3.7749E-13  
  2336.765137   3.9868E-13  
  2338.138916   4.1194E-13  
  2339.512695   3.4486E-13  
  2340.886475   3.7293E-13  
  2342.260254   3.9237E-13  
  2343.634033   3.8031E-13  
  2345.007812   2.7046E-13  
  2346.381592   2.6671E-13  
  2347.755371   3.1654E-13  
  2349.12915    3.1221E-13  
  2350.50293    3.3706E-13  
  2351.876709   4.1996E-13  
  2353.250488   4.3862E-13  
  2354.624268   4.5072E-13  
  2355.998047   4.1374E-13  
  2357.371582   4.2059E-13  
  2358.745361   4.4301E-13  
  2360.119141   4.0342E-13  
  2361.49292    3.0817E-13  
  2362.866699   3.6445E-13  
  2364.240479   4.1224E-13  
  2365.614258   3.9607E-13  
  2366.988037   3.7325E-13  
  2368.361816   3.9192E-13  
  2369.735596   4.1227E-13  
  2371.109375   4.2279E-13  
  2372.48291    4.4326E-13  
  2373.856689   4.3457E-13  
  2375.230469   3.6002E-13  
  2376.604248   3.8602E-13  
  2377.978027   4.2962E-13  
  2379.351807   4.3807E-13  
  2380.725586   3.5953E-13  
  2382.099121   3.0152E-13  
  2383.4729     1.9938E-13  
  2384.84668    2.3258E-13  
  2386.220459   3.4558E-13  
  2387.594238   4.1393E-13  
  2388.967773   3.8944E-13  
  2390.341553   3.1913E-13  
  2391.715332   4.0437E-13  
  2393.089111   4.404E-13   
  2394.462891   4.4932E-13  
  2395.836426   3.8234E-13  
  2397.210205   2.8507E-13  
  2398.583984   3.403E-13   
  2399.957764   3.7086E-13  
  2401.331299   3.3783E-13  
  2402.705078   4.1891E-13  
  2404.078857   4.0341E-13  
  2405.452393   3.5939E-13  
  2406.826172   2.8013E-13  
  2408.199951   2.9854E-13  
  2409.573486   3.6155E-13  
  2410.947266   3.8769E-13  
  2412.321045   2.8292E-13  
  2413.69458    3.3252E-13  
  2415.068359   3.5123E-13  
  2416.442139   4.2461E-13  
  2417.815674   4.5116E-13  
  2419.189453   4.6449E-13  
  2420.562988   4.8288E-13  
  2421.936768   5.1155E-13  
  2423.310303   5.3233E-13  
  2424.684082   4.8542E-13  
  2426.057861   4.4973E-13  
  2427.431396   4.8033E-13  
  2428.805176   4.9394E-13  
  2430.178711   4.8059E-13  
  2431.55249    4.8213E-13  
  2432.926025   5.1391E-13  
  2434.299805   4.813E-13   
  2435.67334    4.6402E-13  
  2437.046875   4.3209E-13  
  2438.420654   4.5036E-13  
  2439.794189   4.6555E-13  
  2441.167969   4.5725E-13  
  2442.541504   4.9918E-13  
  2443.915039   5.1271E-13  
  2445.288818   5.0082E-13  
  2446.662354   4.8573E-13  
  2448.036133   4.8544E-13  
  2449.409668   4.8779E-13  
  2450.783203   4.8552E-13  
  2452.156982   4.6375E-13  
  2453.530518   4.5861E-13  
  2454.904053   4.7242E-13  
  2456.277588   4.8281E-13  
  2457.651367   4.9392E-13  
  2459.024902   5.0509E-13  
  2460.398438   4.9558E-13  
  2461.771973   4.8847E-13  
  2463.145508   4.5715E-13  
  2464.519287   4.3652E-13  
  2465.892822   4.5778E-13  
  2467.266357   4.7016E-13  
  2468.639893   4.6566E-13  
  2470.013428   4.6807E-13  
  2471.386963   4.7547E-13  
  2472.760498   4.7616E-13  
  2474.134033   4.4569E-13  
  2475.507568   4.7435E-13  
  2476.881104   4.8729E-13  
  2478.254639   4.641E-13   
  2479.628174   4.4804E-13  
  2481.001709   4.1516E-13  
  2482.375244   4.6548E-13  
  2483.748779   4.4806E-13  
  2485.122314   3.5771E-13  
  2486.49585    3.9732E-13  
  2487.869385   4.1732E-13  
  2489.24292    4.103E-13   
  2490.616455   3.8356E-13  
  2491.98999    3.3609E-13  
  2493.363525   3.7697E-13  
  2494.736816   4.4744E-13  
  2496.110352   4.9828E-13  
  2497.483887   5.2349E-13  
  2498.857422   5.1498E-13  
  2500.230713   5.0996E-13  
  2501.604248   5.3302E-13  
  2502.977783   4.7589E-13  
  2504.351318   4.9992E-13  
  2505.724609   4.8871E-13  
  2507.098145   4.5467E-13  
  2508.471436   3.7241E-13  
  2509.844971   4.6019E-13  
  2511.218506   5.1061E-13  
  2512.591797   4.6551E-13  
  2513.965332   4.4467E-13  
  2515.338623   3.8664E-13  
  2516.712158   3.1565E-13  
  2518.085449   2.8552E-13  
  2519.458984   3.2905E-13  
  2520.832275   3.4658E-13  
  2522.205811   4.0798E-13  
  2523.579102   3.7407E-13  
  2524.952393   3.2268E-13  
  2526.325928   3.1516E-13  
  2527.699219   3.3208E-13  
  2529.07251    3.1015E-13  
  2530.446045   2.7251E-13  
  2531.819336   3.583E-13   
  2533.192627   4.3435E-13  
  2534.566162   4.4382E-13  
  2535.939453   4.212E-13   
  2537.312744   4.1059E-13  
  2538.686035   4.109E-13   
  2540.059326   4.1163E-13  
  2541.432617   4.2678E-13  
  2542.805908   4.2312E-13  
  2544.179443   4.4542E-13  
  2545.552734   4.5983E-13  
  2546.926025   4.3788E-13  
  2548.299316   4.4044E-13  
  2549.672607   4.3475E-13  
  2551.045898   3.9459E-13  
  2552.419189   4.6014E-13  
  2553.79248    5.2517E-13  
  2555.165527   5.3033E-13  
  2556.538818   5.4147E-13  
