# WAVELENGTH    FLUX         
  2240.443848   4.4806E-14   
  2241.817871   3.9519E-14   
  2243.19165    3.8167E-14   
  2244.56543    3.8861E-14   
  2245.939453   4.2152E-14   
  2247.313232   4.5359E-14   
  2248.687012   4.4194E-14   
  2250.061035   4.0001E-14   
  2251.434814   3.9091E-14   
  2252.808594   4.0117E-14   
  2254.182617   3.8072E-14   
  2255.556396   3.6869E-14   
  2256.930176   3.567E-14    
  2258.304199   3.5776E-14   
  2259.677979   3.6102E-14   
  2261.052002   3.3739E-14   
  2262.425781   3.3924E-14   
  2263.799561   3.2885E-14   
  2265.173584   2.9302E-14   
  2266.547363   2.7312E-14   
  2267.921143   2.6391E-14   
  2269.295166   2.6625E-14   
  2270.668945   2.5173E-14   
  2272.042969   2.7646E-14   
  2273.416748   2.871E-14    
  2274.790771   2.9583E-14   
  2276.164551   3.0492E-14   
  2277.53833    3.2689E-14   
  2278.912354   3.5197E-14   
  2280.286133   3.6032E-14   
  2281.660156   3.9621E-14   
  2283.033936   4.2567E-14   
  2284.407959   3.9802E-14   
  2285.781738   4.2788E-14   
  2287.155518   3.8141E-14   
  2288.529541   3.6207E-14   
  2289.90332    3.6403E-14   
  2291.277344   3.5257E-14   
  2292.651123   3.768E-14    
  2294.025146   3.8979E-14   
  2295.398926   4.1283E-14   
  2296.772949   3.8857E-14   
  2298.146729   3.2729E-14   
  2299.520508   3.1295E-14   
  2300.894531   3.2904E-14   
  2302.268311   3.5953E-14   
  2303.642334   3.7442E-14   
  2305.016113   4.0889E-14   
  2306.390137   4.9037E-14   
  2307.763916   4.814E-14    
  2309.137939   4.3276E-14   
  2310.511719   3.6223E-14   
  2311.885742   3.2478E-14   
  2313.259521   3.109E-14    
  2314.633545   3.71E-14     
  2316.007324   4.463E-14    
  2317.381104   4.2826E-14   
  2318.755127   4.1909E-14   
  2320.128906   3.6358E-14   
  2321.50293    3.8237E-14   
  2322.876709   4.5344E-14   
  2324.250732   5.1094E-14   
  2325.624512   4.3236E-14   
  2326.998535   3.8335E-14   
  2328.372314   3.884E-14    
  2329.746094   4.2087E-14   
  2331.120117   3.8106E-14   
  2332.493896   3.3001E-14   
  2333.86792    3.3372E-14   
  2335.241699   3.9311E-14   
  2336.615723   3.9929E-14   
  2337.989502   3.3396E-14   
  2339.363525   3.0619E-14   
  2340.737305   3.4212E-14   
  2342.111084   3.6951E-14   
  2343.485107   3.0957E-14   
  2344.858887   2.5565E-14   
  2346.23291    2.7739E-14   
  2347.606689   2.9403E-14   
  2348.980469   3.0155E-14   
  2350.354492   3.7716E-14   
  2351.728271   4.2363E-14   
  2353.102295   4.588E-14    
  2354.476074   4.204E-14    
  2355.849854   4.0851E-14   
  2357.223877   4.52E-14     
  2358.597656   4.294E-14    
  2359.971436   3.5044E-14   
  2361.345459   3.4604E-14   
  2362.719238   4.0032E-14   
  2364.093262   3.942E-14    
  2365.467041   3.5415E-14   
  2366.84082    3.6E-14      
  2368.214844   3.6408E-14   
  2369.588623   4.0598E-14   
  2370.962402   4.4888E-14   
  2372.336426   4.7712E-14   
  2373.710205   3.8668E-14   
  2375.083984   3.5593E-14   
  2376.457764   3.9602E-14   
  2377.831787   4.3696E-14   
  2379.205566   3.7926E-14   
  2380.579346   3.2894E-14   
  2381.953369   2.651E-14    
  2383.327148   2.4647E-14   
  2384.700928   3.036E-14    
  2386.074707   3.7636E-14   
  2387.44873    3.9408E-14   
  2388.82251    3.4375E-14   
  2390.196289   3.6518E-14   
  2391.570068   4.3276E-14   
  2392.943848   4.2423E-14   
  2394.317871   3.9377E-14   
  2395.69165    3.0076E-14   
  2397.06543    3.0276E-14   
  2398.439209   3.4367E-14   
  2399.812988   3.2663E-14   
  2401.187012   3.8777E-14   
  2402.560791   3.9779E-14   
  2403.93457    3.5751E-14   
  2405.30835    3.074E-14    
  2406.682129   2.9836E-14   
  2408.055908   3.3119E-14   
  2409.429688   3.7869E-14   
  2410.803467   3.173E-14    
  2412.17749    3.0582E-14   
  2413.55127    3.4529E-14   
  2414.925049   3.8797E-14   
  2416.298828   4.4344E-14   
  2417.672607   4.7609E-14   
  2419.046387   5.0895E-14   
  2420.420166   5.347E-14    
  2421.793945   5.6592E-14   
  2423.167725   5.585E-14    
  2424.541504   5.2056E-14   
  2425.915283   5.4191E-14   
  2427.289062   6.0277E-14   
  2428.662842   5.7485E-14   
  2430.036621   5.3692E-14   
  2431.4104     5.6926E-14   
  2432.78418    5.3199E-14   
  2434.157715   5.176E-14    
  2435.531494   4.8614E-14   
  2436.905273   5.0899E-14   
  2438.279053   5.3799E-14   
  2439.652832   5.0051E-14   
  2441.026611   5.3605E-14   
  2442.400391   5.7233E-14   
  2443.77417    5.3667E-14   
  2445.147705   5.1098E-14   
  2446.521484   4.9365E-14   
  2447.895264   4.68E-14     
  2449.269043   4.3283E-14   
  2450.642578   4.3831E-14   
  2452.016357   4.2519E-14   
  2453.390137   4.1449E-14   
  2454.763916   4.224E-14    
  2456.137451   4.4035E-14   
  2457.51123    4.3818E-14   
  2458.88501    4.6132E-14   
  2460.258545   4.3423E-14   
  2461.632324   4.0679E-14   
  2463.006104   3.7802E-14   
  2464.379639   4.012E-14    
  2465.753418   4.2143E-14   
  2467.126953   4.3289E-14   
  2468.500732   4.8098E-14   
  2469.874512   4.7239E-14   
  2471.248047   4.7903E-14   
  2472.621826   4.6859E-14   
  2473.995361   4.529E-14    
  2475.369141   5.2441E-14   
  2476.742676   5.0322E-14   
  2478.116455   4.9301E-14   
  2479.48999    4.3328E-14   
  2480.863525   4.2573E-14   
  2482.237305   4.4673E-14   
  2483.61084    3.6472E-14   
  2484.984619   3.7198E-14   
  2486.358154   4.0675E-14   
  2487.731689   3.8962E-14   
  2489.105469   3.5188E-14   
  2490.479004   3.2913E-14   
  2491.852539   3.4534E-14   
  2493.226074   4.4853E-14   
  2494.599854   5.1487E-14   
  2495.973389   5.8217E-14   
  2497.346924   5.7695E-14   
  2498.720459   5.6447E-14   
  2500.094238   5.8256E-14   
  2501.467773   5.1196E-14   
  2502.841309   5.0743E-14   
  2504.214844   5.4655E-14   
  2505.588379   4.9917E-14   
  2506.961914   4.4069E-14   
  2508.335449   4.6071E-14   
  2509.708984   5.3603E-14   
  2511.08252    4.9565E-14   
  2512.456055   4.7829E-14   
  2513.82959    4.4717E-14   
  2515.203125   3.8049E-14   
  2516.57666    3.5267E-14   
  2517.950195   3.5541E-14   
  2519.32373    3.8665E-14   
  2520.697266   4.1068E-14   
  2522.070801   4.0812E-14   
  2523.444336   3.6961E-14   
  2524.817871   3.54E-14     
  2526.191162   3.9479E-14   
  2527.564697   3.8897E-14   
  2528.938232   3.5707E-14   
  2530.311768   3.8331E-14   
  2531.685059   4.8973E-14   
  2533.058594   4.9757E-14   
  2534.432129   4.8831E-14   
  2535.80542    4.7853E-14   
  2537.178955   4.7436E-14   
  2538.55249    4.9894E-14   
  2539.925781   5.0131E-14   
  2541.299316   4.9919E-14   
  2542.672607   5.2652E-14   
  2544.046143   5.6236E-14   
  2545.419434   5.4236E-14   
  2546.792969   5.2609E-14   
  2548.16626    5.2895E-14   
  2549.539795   4.9242E-14   
  2550.913086   5.7668E-14   
  2552.286621   7.096E-14    
  2553.659912   7.0577E-14   
  2555.033203   7.4983E-14   
  2556.406738   7.1059E-14   
  2557.780029   7.2781E-14   
  2559.15332    7.8023E-14   
  2560.526611   8.02E-14     
  2561.900146   7.2836E-14   
  2563.273438   6.4319E-14   
  2564.646729   7.3898E-14   
  2566.02002    9.0339E-14   
  2567.393311   9.8139E-14   
  2568.766602   1.0294E-13   
  2570.139893   1.1197E-13   
  2571.513428   1.1208E-13   
  2572.886719   1.1396E-13   
  2574.26001    1.1547E-13   
  2575.633301   9.1185E-14   
  2577.006348   8.2192E-14   
  2578.379639   9.9044E-14   
  2579.75293    1.1818E-13   
  2581.126221   1.3287E-13   
  2582.499512   1.2992E-13   
  2583.872803   1.0892E-13   
  2585.246094   9.034E-14    
  2586.619141   7.5791E-14   
  2587.992432   9.7451E-14   
  2589.365723   1.2238E-13   
  2590.73877    1.2161E-13   
  2592.112061   1.0287E-13   
  2593.485352   9.6002E-14   
  2594.858398   8.5469E-14   
  2596.231689   9.4129E-14   
  2597.604736   7.9658E-14   
  2598.978027   5.6705E-14   
  2600.351318   6.1168E-14   
  2601.724365   7.8136E-14   
  2603.097412   9.5579E-14   
  2604.470703   9.2218E-14   
  2605.84375    7.6264E-14   
  2607.217041   6.8122E-14   
  2608.590088   7.1281E-14   
  2609.963135   8.1228E-14   
  2611.336182   7.1024E-14   
  2612.709473   6.0349E-14   
  2614.08252    6.4478E-14   
  2615.455566   7.9976E-14   
  2616.828613   8.8489E-14   
  2618.20166    8.4029E-14   
  2619.574707   9.172E-14    
  2620.947754   9.7405E-14   
  2622.320801   1.0332E-13   
  2623.693848   1.0722E-13   
  2625.066895   1.0398E-13   
  2626.439941   9.8637E-14   
  2627.812988   8.6152E-14   
  2629.186035   7.7921E-14   
  2630.559082   7.6466E-14   
  2631.932129   7.2478E-14   
  2633.305176   9.3678E-14   
  2634.677979   1.2955E-13   
  2636.051025   1.5287E-13   
  2637.424072   1.8266E-13   
  2638.796875   2.2041E-13   
  2640.169922   2.1345E-13   
  2641.542969   2.042E-13    
  2642.915771   2.3916E-13   
  2644.288818   2.5231E-13   
  2645.661621   2.198E-13    
  2647.034668   2.0036E-13   
  2648.407471   1.7862E-13   
  2649.780518   1.7346E-13   
  2651.15332    1.8039E-13   
  2652.526123   1.9155E-13   
  2653.89917    2.2007E-13   
  2655.271973   2.4448E-13   
  2656.644775   2.3869E-13   
  2658.017578   2.3279E-13   
  2659.390381   2.2849E-13   
  2660.763428   2.3317E-13   
  2662.13623    2.1184E-13   
  2663.509033   2.0705E-13   
  2664.881836   2.0814E-13   
  2666.254639   2.1301E-13   
  2667.627441   2.1191E-13   
  2669.000244   2.1463E-13   
  2670.373047   2.1132E-13   
  2671.745605   2.254E-13    
  2673.118408   1.9787E-13   
  2674.491211   2.2595E-13   
  2675.864014   2.5198E-13   
  2677.236572   2.3914E-13   
  2678.609375   2.0694E-13   
  2679.982178   1.9512E-13   
  2681.354736   2.1045E-13   
  2682.727539   2.1301E-13   
  2684.100342   2.0837E-13   
  2685.4729     2.0502E-13   
  2686.845703   2.2015E-13   
  2688.218262   2.084E-13    
  2689.59082    1.9795E-13   
  2690.963623   1.9445E-13   
  2692.336182   2.0317E-13   
  2693.70874    2.1348E-13   
  2695.081543   2.0167E-13   
  2696.454102   1.8435E-13   
  2697.82666    2.0196E-13   
  2699.199219   2.0998E-13   
  2700.571777   2.4649E-13   
  2701.944336   2.4357E-13   
  2703.316895   2.3984E-13   
  2704.689453   2.5273E-13   
  2706.062012   2.5012E-13   
  2707.43457    2.2711E-13   
  2708.807129   2.2567E-13   
  2710.179688   2.2594E-13   
  2711.552246   2.273E-13    
  2712.924561   2.3548E-13   
  2714.297119   2.2368E-13   
  2715.669678   2.0777E-13   
  2717.041992   2.0512E-13   
  2718.414551   1.8524E-13   
  2719.787109   1.3653E-13   
  2721.159424   1.3396E-13   
  2722.531982   1.6156E-13   
  2723.904297   1.7153E-13   
  2725.276611   1.73E-13     
  2726.64917    1.8221E-13   
  2728.021484   1.8306E-13   
  2729.393799   2.2098E-13   
  2730.766357   2.4317E-13   
  2732.138672   2.2276E-13   
  2733.510986   2.0466E-13   
  2734.883301   1.8013E-13   
  2736.255615   1.8139E-13   
  2737.62793    1.4995E-13   
  2739.000244   1.3961E-13   
