# WAVELENGTH    FLUX        
  2186.321533   7.2459E-14  
  2187.695312   7.0282E-14  
  2189.068848   7.5056E-14  
  2190.442627   7.5703E-14  
  2191.816406   7.6609E-14  
  2193.189941   7.9901E-14  
  2194.563721   8.4076E-14  
  2195.9375     8.5188E-14  
  2197.311035   8.3929E-14  
  2198.684814   8.5282E-14  
  2200.058594   8.1421E-14  
  2201.432129   8.1106E-14  
  2202.805908   8.7133E-14  
  2204.179688   8.8571E-14  
  2205.553223   8.4781E-14  
  2206.927002   8.2263E-14  
  2208.300781   7.9074E-14  
  2209.674316   7.686E-14   
  2211.048096   7.1194E-14  
  2212.421875   7.3652E-14  
  2213.795654   8.1855E-14  
  2215.169434   8.202E-14   
  2216.542969   7.9025E-14  
  2217.916748   7.771E-14   
  2219.290527   8.3003E-14  
  2220.664307   8.6799E-14  
  2222.038086   8.7117E-14  
  2223.411621   8.898E-14   
  2224.7854     8.9427E-14  
  2226.15918    9.1547E-14  
  2227.532959   9.2893E-14  
  2228.906738   9.2616E-14  
  2230.280518   9.4789E-14  
  2231.654297   9.546E-14   
  2233.027832   9.6488E-14  
  2234.401611   9.684E-14   
  2235.775391   1.0121E-13  
  2237.14917    1.0023E-13  
  2238.522949   1.0311E-13  
  2239.896729   1.0195E-13  
  2241.270508   1.0047E-13  
  2242.644287   9.7949E-14  
  2244.018066   9.5287E-14  
  2245.391846   9.3664E-14  
  2246.765625   9.8162E-14  
  2248.139404   9.8302E-14  
  2249.513184   9.4092E-14  
  2250.886963   9.1517E-14  
  2252.260742   9.1079E-14  
  2253.634277   9.1843E-14  
  2255.008057   9.1216E-14  
  2256.381836   9.3643E-14  
  2257.755615   9.5106E-14  
  2259.129395   9.7598E-14  
  2260.503174   9.1158E-14  
  2261.876953   9.2726E-14  
  2263.250732   9.7636E-14  
  2264.624512   9.6647E-14  
  2265.998535   9.3457E-14  
  2267.372314   9.2315E-14  
  2268.746094   9.343E-14   
  2270.119873   9.5598E-14  
  2271.493652   9.8586E-14  
  2272.867432   1.002E-13   
  2274.241211   1.0247E-13  
